gateway_norm,weeks_observed,problem_rate,avg_current_success
0202CB0A6B1F,25,0.0,0.9219277108433735
02043B6BA08B,25,0.0,0.9184842105263158
02075B45BF24,25,0.2,0.8410958904109589
02091DF7CCB8,25,0.64,0.6753125
02097AB58D3C,25,0.08,0.9166984126984127
020CC6FB9659,25,0.0,0.9261538461538461
02132677328F,25,0.44,0.7028938906752411
02142F017781,25,0.0,0.9082242990654206
02145826103B,25,0.32,0.7789147286821705
0217820BFFB2,25,0.0,0.9079012345679013
021D82B56A3F,16,0.25,0.7881679389312977
02251388D3A2,25,0.0,0.9182608695652174
0228A99EE35A,25,0.0,0.9305785123966942
022C6F326E3B,25,0.24,0.8025641025641026
022DB47C41AC,25,0.12,0.8917647058823529
023015602FAA,25,0.0,0.9372067039106144
0230D261A1CD,25,0.32,0.7858333333333333
0230EEF72435,25,0.0,0.9661538461538461
02314F9A9168,25,0.24,0.8235051546391753
023257D29366,25,0.0,0.9395475113122173
023270320B57,25,0.0,0.951496062992126
02388A18854F,25,0.16,0.8481720430107527
0239AD51B7AF,25,0.12,0.8774311926605505
023A663EFD87,25,0.0,0.9554455445544555
023AD5204E1C,15,0.0,0.9585185185185185
023ADDDECF84,25,0.44,0.74
02423E0E6E9F,25,0.28,0.7678114478114477
024570739DE0,25,0.52,0.6852830188679245
02478CD90F3A,25,0.0,0.9026415094339623
024DD3A9ADCA,25,0.16,0.8575401069518717
024ED433BF7D,25,0.44,0.761860465116279
0253BB40EDA6,25,0.0,0.9379359430604982
0257E855DBCE,25,0.68,0.48224000000000006
0259991BA036,25,0.84,0.5349222797927461
025E884AB484,1,0.0,0.93
026A6007FA48,25,0.24,0.7623076923076922
027137436C87,25,0.0,0.9539419087136929
0278E06A2F67,25,0.0,0.9035555555555556
0279D2AC6ACE,25,0.04,0.9502372881355932
027B2DC4EA84,25,0.44,0.7605442176870748
027D07FC97FC,25,0.6,0.6845569620253165
027FE9CED489,25,0.0,0.9522388059701492
02817D5E40EE,1,0.0,0.9245283018867925
028764AA026E,25,0.0,0.9240336134453782
02892F51E1CB,25,0.48,0.7338582677165354
0289694A6E5B,25,0.0,0.912258064516129
028B24EADDAD,25,0.56,0.6767772511848341
028CC0AE5719,25,0.6,0.6527567567567567
0293918A963F,25,0.0,0.9568627450980393
02980E461859,25,0.0,0.9465573770491804
029A2B32D17E,25,0.04,0.8880412371134021
029C03C2BF19,25,0.2,0.8209345794392523
029DA26B1A92,25,0.0,0.935045871559633
02A3A213EEC1,3,0.0,0.9063492063492063
02A80292CB97,25,0.32,0.779622641509434
02B5C5ADC792,25,0.4,0.6846280991735537
02B742646A0E,25,0.12,0.8838095238095238
02BAD919855D,25,0.2,0.8404878048780487
02BD26A4C3A0,25,0.0,0.9412145748987853
02C0F45F31E7,25,0.92,0.26826666666666665
02CFFA3A3F35,25,0.0,0.949126213592233
02D49A34B2FE,25,0.56,0.7232535885167464
02D4DFEF402A,25,0.32,0.7487878787878788
02D7623552C8,25,0.36,0.7818439716312057
02DC03A0F1E6,25,0.0,0.9212820512820512
02E12310186C,25,0.6,0.6363171355498721
02EBC6CD4398,25,0.04,0.9211009174311927
02F093C88F2E,25,0.0,0.9206299212598426
02F18EEE028A,25,0.48,0.7201793721973094
02F56F7C8E0B,25,0.0,0.9310179640718563
02F5CE7705EC,25,0.64,0.6763824289405684
02F98EB34A7A,25,0.0,0.9338317757009346
02FBDD4A2C43,25,0.44,0.7507692307692309
060C5773A61B,25,0.0,0.8910344827586206
060EE3CB4779,25,0.2,0.8150724637681159
06132D7396F8,25,0.52,0.6658333333333333
0616F247083A,25,0.0,0.9096703296703297
061A4322745C,25,0.52,0.6864739884393063
06238EE3BE6C,25,0.0,0.9270175438596492
062CA8BB55FC,1,0.0,0.9487179487179487
062EA113798F,25,0.24,0.8004469273743017
0634F78DB4C5,25,0.04,0.8852941176470588
0639EA5602C1,25,0.0,0.9451327433628319
0644582257D9,25,0.0,0.9231428571428572
064AED1EC0AA,25,0.08,0.870974358974359
064BE19B0A9E,25,0.0,0.9244755244755245
064C94C771EC,25,0.16,0.9116097560975609
064E66B5367B,25,0.0,0.9398076923076922
06509A84E873,25,0.24,0.8428252788104089
