threshold,cost,unnecessary,missed
0.2,156600,0,261
0.22,156600,0,261
0.24,156600,0,261
0.26,156600,0,261
0.28,156600,0,261
0.3,156600,0,261
0.32,156600,0,261
0.34,156600,0,261
0.36,156600,0,261
0.38,156600,0,261
0.4,156600,0,261
0.42,156600,0,261
0.44,156600,0,261
0.46,156600,0,261
0.48,156600,0,261
0.5,156600,0,261
0.52,156600,0,261
0.54,156600,0,261
0.56,156600,0,261
0.58,156600,0,261
0.6,156600,0,261
0.62,156600,0,261
0.64,156600,0,261
0.66,156600,0,261
0.68,156600,0,261
0.7,156600,0,261
0.72,156600,0,261
0.74,156600,0,261
0.76,156600,0,261
0.78,156600,0,261
0.8,156600,0,261
