feature,importance
tele_offline_duration_sec_mean,0.06965733288247536
tele_offline_duration_sec_sum,0.0638518342549451
tele_avg_offline_duration_mean,0.06156864995035184
tele_avg_offline_duration_sum,0.051999809467411826
lag1_success,0.05191084345471678
tele_no_conn_importance_mean,0.048150540959586347
tele_no_conn_importance_sum,0.04519179148366587
tele_no_conn_importance_max,0.03900634138032198
tele_offline_duration_sec_max,0.033207070752315916
rolling_4w_mean,0.030637501110155733
tele_online_duration_mins_sum,0.027775694004944524
tele_avg_load1_mean,0.024285562179131026
tele_avg_totalproccess_sum,0.02327409038734902
tele_rx_crc_bad_sum,0.01914134779441437
lag2_success,0.018281350874959603
tele_avg_offline_duration_max,0.01823191339091616
tele_number_of_messages_sum,0.01661502653067102
tele_avg_load1_max,0.015631744077303302
tele_disconnection_cnt_mean,0.015444297443743836
tele_rx_nr_pkts_sum,0.015429338656215853
tele_online_duration_mins_mean,0.010554123209028706
tele_load1_bigger2_mean,0.010521699756366184
lag3_success,0.008747488566430444
tele_disconnection_cnt_sum,0.00866525303605436
tele_avg_load1_sum,0.008063085404509566
rolling_4w_std,0.007786568090715315
success_change_2w,0.007488290670594372
tele_avg_activeproccess_sum,0.007028866029631214
tele_avg_idletime_mean,0.0067252066947732485
tele_disconnection_cnt_max,0.006269848786503129
tele_avg_memfree_sum,0.006038523975020868
success_change_1w,0.005962792814971519
tele_avg_idletime_max,0.005600867757974497
tele_load1_bigger2_sum,0.005584528723314254
tele_reboot_importance_max,0.005522844418451161
lag4_success,0.005344823671022494
tele_avg_idletime_sum,0.00517403958921774
tele_avg_totalproccess_mean,0.004936673802176241
tele_rssi_good_mean,0.00448079645638686
tele_rssi_good_sum,0.00433637501081492
tele_avg_totalproccess_max,0.004312852513132229
tele_rscp_rsrp_normal_mean,0.004221064723699918
tele_number_of_messages_mean,0.004184109936690303
tele_avg_memfree_mean,0.00408929383766078
tele_rx_nr_pkts_mean,0.0040665513562879
tele_avg_activeproccess_mean,0.0040559211403761114
tele_load1_bigger1_mean,0.003957353949794849
tele_rx_crc_bad_mean,0.003920831614665359
tele_load1_bigger1_sum,0.003911912069064146
tele_ecio_rsrq_normal_sum,0.0038563710448148393
tele_ecio_rsrq_normal_mean,0.003835357174134332
tele_rscp_rsrp_normal_sum,0.003783023556985788
tele_avg_uptime_sum,0.0037568513524873707
n_meters_installed,0.0037177747825501927
tele_rssi_normal_sum,0.0037177032503375963
tele_avg_activeproccess_max,0.0036960138171963424
tele_avg_memfree_max,0.003676009884624739
tele_rscp_rsrp_good_mean,0.0036718703957830997
tele_ecio_rsrq_good_mean,0.00364480921228624
tele_avg_uptime_mean,0.003632125706278892
tele_rssi_normal_mean,0.0036111059162154315
tele_reboot_importance_mean,0.0035938585270381225
tele_ecio_rsrq_bad_mean,0.0035639886224123887
tele_ecio_rsrq_good_sum,0.003454132444641596
tele_ecio_rsrq_bad_sum,0.003449025547101045
tele_rscp_rsrp_good_sum,0.003286359875261575
tele_avg_uptime_max,0.003281235186996896
tele_online_duration_mins_max,0.003212597104586289
tele_load1_bigger2_max,0.0031233949637385415
tele_rx_crc_bad_max,0.0031115880805988477
tele_rssi_bad_mean,0.003024800550319821
tele_reboot_duration_sec_max,0.0030082083469341603
tele_avg_reboot_duration_mean,0.0028081687203736286
tele_reboot_duration_sec_mean,0.002805930133783605
tele_tx_success_max,0.002733812640141313
tele_rx_nr_pkts_max,0.0026654229093718623
tele_load1_bigger1_max,0.0024741032578586264
tele_rssi_bad_sum,0.0024086386858297435
tele_reboot_importance_sum,0.0023874650795207056
tele_avg_reboot_duration_max,0.002384302645974133
tele_tx_success_mean,0.002349571051848612
tele_tx_success_sum,0.0022636733269477973
antenna_type_Yagi 9dBi,0.002184674554686845
tele_avg_reboot_duration_sum,0.002180138469776776
tele_reboot_cnt_mean,0.002133782359861346
tele_reboot_duration_sec_sum,0.002117462300352738
tele_r_cnt_unknown_mean,0.0019716755850899153
tele_tx_override_mean,0.00177010936388929
tele_rscp_rsrp_bad_mean,0.0017395730513911755
tele_rscp_rsrp_bad_sum,0.0014005778133987055
tele_number_of_messages_max,0.001393153736980116
tele_reboot_cnt_sum,0.0011751337407608802
tele_r_cnt_unknown_sum,0.000885505017549812
tele_r_cnt_reboot_mean,0.0007146549045185503
tele_rscp_rsrp_bad_max,0.0006695740605429792
tele_r_cnt_power_cycle_mean,0.0005722925871167228
antenna_type_Omni 3dBi,0.0005206129687838253
tele_tx_busy_mean,0.0005169548891982797
hw_model_GW-2100,0.0005136572472411603
site_type_Heizraum,0.0004440439791960941
antenna_type_Panel 7dBi,0.0004424425390141668
tele_tx_busy_max,0.0004215928389112533
tele_tx_override_sum,0.000418310567055981
tele_rscp_rsrp_good_max,0.00041733364633168916
region_Niedersachsen,0.0004130158439546486
tenant_tenant_a,0.0004008564914706266
tele_r_cnt_reboot_sum,0.0003991266515236264
hw_model_GW-3400,0.0003976789935534754
tele_reboot_cnt_max,0.00039513580969126083
site_type_Gebäude,0.00038368857025959327
hw_model_GW-2100L,0.00037611869567934876
region_Sachsen,0.0003702328291050684
tele_tx_busy_sum,0.0003540634633195005
tele_r_cnt_unknown_max,0.00035202473963547915
region_Hessen,0.0003489694454528335
region_Bayern,0.0003291892189351447
region_Baden-Württemberg,0.0003246075108782195
antenna_type_Omni 5dBi,0.00031302966783463545
region_Nordrhein-Westfalen,0.0002976239498283195
site_type_Schaltschrank,0.00029752219138252966
tele_r_cnt_power_cycle_max,0.0002694974632901975
tele_rssi_bad_max,0.00024657671029016987
tenant_tenant_b,0.00023970996465760868
tele_r_cnt_power_cycle_sum,0.0002346184389648502
tenant_tenant_d,0.00023075999168803036
tele_ecio_rsrq_good_max,0.00022494189107205445
tele_tx_override_max,0.00022383165714888456
tenant_tenant_c,0.00021573195725988246
tele_r_cnt_reboot_max,0.0002076128659306716
site_type_Außenmast,0.00017990038605930161
site_type_Kellerraum,0.00013098303901797843
tele_rssi_good_max,0.00010329917333235429
tele_ecio_rsrq_bad_max,8.490097203204453e-05
tele_rssi_normal_max,8.045896176275901e-05
hw_model_GW-8800X,6.9564235728646e-05
tele_ecio_rsrq_normal_max,4.778488602681079e-05
tele_rscp_rsrp_normal_max,1.972467568689942e-05
